,Unknown
2134,616
2135,688
2136,656
2137,642
2138,501
2139,559
2140,513
2141,370
2142,897
2143,511
2144,710
2145,592
2146,476
2147,582
2148,459
2149,535
2150,531
2151,713
2152,673
2153,460
2154,607
2155,373
2156,441
2157,528
2158,622
2159,180
2160,537
2161,448
2162,364
2163,533
2164,672
2165,603
2166,537
2167,359
2168,396
2169,457
2170,459
2171,415
2172,362
2173,424
2174,282
2175,266
2176,339
2177,398
2178,482
2179,411
2180,438
2181,339
2182,555
2183,513
2184,390
2185,605
2186,514
2187,224
2188,405
2189,212
2190,406
2191,273
2192,297
2193,249
2194,288
2195,304
2196,383
2197,302
2198,257
2199,319
2200,333
2201,220
2202,317
2203,367
2204,90
2205,317
2206,293
2207,263
2208,258
2209,227
2210,211
2211,263
2212,198
2213,258
2214,124
2215,195
2216,269
2217,165
2218,189
2219,177
2220,216
2221,112
2222,225
2223,98
2224,135
2225,253
2226,250
2227,145
2228,285
2229,153
2230,179
2231,182
2232,206
2233,143
2234,220
2235,204
2236,175
2237,106
2238,184
2239,154
2240,157
2241,85
2242,296
2243,86
2244,148
2245,146
2246,185
2247,151
2248,126
2249,172
2250,262
2251,181
2252,129
2253,168
2254,131
2255,229
2256,146
2257,222
2258,132
2259,101
