Manufacturer,Model,Price,Transmission,Power,Engine CC,Fuel,Female,Male,Unknown,Total
Suzuki,Liana,18.88,4.67,74.0,1523.33,petrol,"3,467","5,205",543,"9,215"
Bentley,Continental,285.25,7.2,428.2,5577.8,petrol,"1,024","7,602",406,"9,032"
Chevrolet,Captiva,55.62,6.0,145.75,2460.75,petrol,"2,875","5,701",425,"9,001"
Nissan,Pathfinder,60.96,5.5,146.0,2588.6,diesel,"2,239","6,393",325,"8,957"
Peugeot,205,13.12,4.75,50.88,1430.75,petrol,"2,841","5,690",412,"8,943"
Saab,900,37.01,4.59,114.68,2208.09,petrol,"2,050","6,096",608,"8,754"
Ford,B-MAX,22.92,5.25,75.5,1288.5,petrol,"3,496","5,001",187,"8,684"
Volvo,940,30.24,4.5,110.0,2316.0,petrol,"1,547","6,659",463,"8,669"
Seat,Toledo,20.37,5.64,74.21,1324.36,petrol,"2,009","6,234",371,"8,614"
Hyundai,Ix20,27.41,6.0,89.0,1552.0,petrol,"3,351","5,033",223,"8,607"
Volvo,850,36.38,4.5,125.71,2294.76,petrol,"1,438","6,702",427,"8,567"
Toyota,Verso-S,22.05,3.6,73.0,1329.0,petrol,"2,986","4,955",571,"8,512"
Audi,S3,60.87,6.75,228.0,1984.0,petrol,"1,345","6,675",322,"8,342"
Alfa-Romeo,159,43.26,5.91,135.38,2276.0,diesel,"1,024","6,851",383,"8,258"
Daewoo,Lanos,13.25,4.83,66.67,1506.5,petrol,"3,305","4,259",472,"8,036"
Smart,Forfour,24.67,0.0,60.0,160.0,automatic,"4,251","3,137",578,"7,966"
Citroen,C8,45.59,5.25,104.17,2027.83,petrol,"2,619","4,896",420,"7,935"
Mazda,626,20.72,4.72,81.38,1950.91,petrol,"1,753","5,710",430,"7,893"
Dacia,Sandero,14.04,5.0,66.0,898.0,petrol,"3,269","4,395",209,"7,873"
Peugeot,807,45.76,5.31,109.08,2053.0,diesel,"2,435","4,829",433,"7,697"
Peugeot,5008,42.51,7.14,99.52,1294.14,petrol,"2,622","4,563",395,"7,580"
Mitsubishi,ASX,33.4,0.0,110.0,1998.0,petrol,"2,546","4,639",320,"7,505"
Porsche,Cayman,84.6,6.5,220.5,3071.0,petrol,"1,082","5,864",362,"7,308"
Chrysler,300C,70.32,4.5,199.0,4123.5,petrol,767,"6,232",249,"7,248"
Mercedes,300,62.4,4.38,135.5,2972.31,petrol,"1,175","5,685",385,"7,245"
Honda,Insight,24.61,0.0,72.0,1339.0,petrol,"2,144","4,587",460,"7,191"
Dacia,Duster,20.76,5.67,89.33,1332.0,petrol,"2,180","4,708",195,"7,083"
Lexus,CT,32.74,0.0,100.0,1798.0,petrol,"2,112","4,220",675,"7,007"
Peugeot,1007,18.66,5.0,59.58,1407.33,petrol,"3,340","3,061",417,"6,818"
Peugeot,508,46.85,7.71,125.05,1642.05,diesel,919,"5,657",231,"6,807"
Citroen,Xantia,24.84,4.76,84.93,1982.76,petrol,"1,192","5,246",346,"6,784"
Peugeot,RCZ,38.94,6.0,135.56,1642.33,petrol,"3,135","3,218",352,"6,705"
Nissan,350Z,55.42,6.0,221.0,3498.0,petrol,800,"5,649",218,"6,667"
Mazda,Demio,14.78,4.8,51.4,1428.4,petrol,"2,953","3,090",397,"6,440"
Honda,S2000,55.25,6.0,177.0,1997.0,petrol,"1,201","4,891",281,"6,373"
Mercedes,190,36.64,4.47,88.73,2284.13,petrol,"1,082","4,841",348,"6,271"
Hyundai,Trajet,30.35,4.4,99.0,2117.6,petrol,"1,926","3,984",310,"6,220"
Chevrolet,Tacuma,20.2,4.78,82.33,1775.78,petrol,"2,138","3,634",390,"6,162"
Alfa-Romeo,GT,37.35,5.38,121.06,1972.81,petrol,989,"4,892",275,"6,156"
Mazda,Premacy,23.22,4.91,82.0,1938.0,petrol,"1,990","3,819",340,"6,149"
Citroen,ZX,16.06,4.92,67.0,1703.15,petrol,"1,837","3,972",300,"6,109"
Volvo,V60,50.48,7.3,150.61,1969.0,diesel,"1,290","4,321",379,"5,990"
Fiat,Brava,17.22,4.89,70.0,1615.33,petrol,"2,067","3,555",364,"5,986"
Audi,S4,95.3,6.33,253.67,3764.33,petrol,692,"4,985",214,"5,891"
